enron,4379
ect,2505
com,3769
hou,2404
pm,3524
john,3442
subject,4694
td,57
font,62
e,1800
compani,986
pleas,3932
market,1786
gas,1689
imag,275
http,1388
price,1440
would,2293
cc,3601
ani,2716
trade,1621
arnold,2460
messag,2285
corp,1541
energi,970
time,2327
said,456
new,1690
power,890
right,886
get,2366
phillip,2286
mail,1341
size,267
p,942
year,1276
www,1039
sent,2155
thank,2894
call,2095
align,64
may,1825
ee,334
origin,1889
forward,2468
week,1558
b,629
one,1666
meet,1297
need,1901
allen,1563
inform,1692
day,1497
email,1537
report,927
go,1785
servic,1156
use,1667
like,1771
busi,1034
work,1844
buy,928
manag,1132
know,1906
k,1435
us,1459
pt,57
also,1498
deal,857
na,699
make,1416
see,1469
want,1484
offer,1017
product,1063
last,1182
c,872
receiv,1547
houston,847
onli,1356
tr,62
includ,1082
state,540
today,1492
look,1391
think,1247
question,1448
inc,572
month,991
share,418
plan,1075
rate,556
chang,1137
stock,392
iso,376
take,1320
follow,1469
contact,1222
provid,1111
financi,807
could,1051
project,572
electr,423
sell,894
cost,717
th,859
develop,820
list,1027
request,836
l,859
credit,600
nbsp,37
communic,595
attach,1397
offic,990
file,853
million,354
u,517
california,551
two,985
span,23
net,654
monday,1044
name,944
date,1105
natur,679
help,1110
let,1375
enronxg,331
back,1050
term,811
custom,719
contract,746
issu,841
number,1088
f,556
good,1147
next,1004
current,1012
per,686
group,812
jeff,794
discuss,1059
click,852
order,645
updat,858
system,766
invest,396
free,880
friday,1007
news,456
say,563
schedul,747
jone,256
come,1036
oper,618
class,203
octob,756
first,898
valu,622
review,947
well,919
avail,969
base,808
util,405
execut,487
interest,829
futur,881
billion,194
reserv,490
regard,1075
style,98
br,70
note,785
option,615
posit,646
dow,164
mark,785
left,357
research,370
j,728
veri,847
fax,1017
access,758
particip,675
much,855
complet,897
demand,518
address,810
tuesday,827
still,864
investor,242
jennif,626
close,715
point,735
generat,484
thursday,846
high,699
addit,849
sale,542
x,616
industri,418
tri,897
long,737
unit,486
give,905
way,785
width,50
line,597
start,708
wednesday,762
cash,442
approv,608
transact,413
trader,482
carrfut,154
expect,527
send,961
analyst,379
relat,702
account,529
activ,423
phone,804
end,732
becaus,644
befor,820
move,696
pdf,278
novemb,632
requir,625
find,822
daili,551
copyright,277
ask,747
link,563
eb,383
spread,397
set,678
bill,429
even,629
susan,486
continu,593
san,414
w,601
peopl,624
agreement,447
sinc,691
site,617
pay,589
talk,678
bid,500
data,472
mike,680
respons,649
director,671
purchas,433
person,658
comment,568
mani,608
hour,641
team,513
dynegi,158
possibl,658
quarter,205
caiso,327
mailto,626
secur,413
limit,477
detail,728
earn,223
center,380
august,538
put,650
risk,586
short,557
sourc,523
problem,579
direct,673
result,497
plant,287
view,578
notic,585
book,477
york,290
place,675
id,439
smith,602
program,455
total,610
home,585
contain,562
decemb,485
thing,650
support,575
internet,474
america,638
loan,218
member,394
made,599
exchang,374
web,550
co,375
increas,456
board,344
hope,739
check,658
lot,478
believ,688
oil,316
street,438
run,571
dure,574
firm,424
steve,511
confer,410
r,462
n,367
process,536
fw,614
doe,721
opportun,584
three,477
level,538
percent,165
fund,360
desk,570
confirm,445
corpor,415
concern,499
employe,490
intern,436
sure,716
open,535
howev,657
bank,349
top,377
special,333
juli,476
et,224
post,492
might,562
differ,670
keep,624
due,543
impact,312
money,474
great,619
global,445
intend,438
g,494
part,482
tabl,223
david,494
best,581
world,434
general,374
doc,462
robert,477
parti,471
morn,606
cent,171
creat,581
present,454
charg,377
text,83
html,327
recent,449
copi,562
north,602
clear,350
sign,538
onlin,371
area,460
build,484
basi,503
presid,316
initi,382
west,480
associ,375
financ,315
document,482
sever,526
third,272
must,478
form,455
locat,530
final,491
around,573
public,410
partnership,153
june,421
asset,194
announc,357
debt,145
amount,405
propos,381
reason,572
ng,296
michael,379
import,549
show,534
confidenti,490
client,418
h,421
suppli,384
profit,299
lower,368
equiti,244
save,384
london,202
consid,532
ferc,201
asp,297
mr,180
septemb,442
cap,205
past,475
govern,243
harri,415
weather,325
author,479
resourc,492
accept,456
anoth,487
distribut,465
wine,93
repres,476
citi,286
bob,447
texa,414
page,463
chart,251
chief,194
type,488
scott,457
respond,546
express,412
game,371
ad,355
index,332
commiss,242
indic,458
allow,472
richard,380
edu,179
border,115
loss,193
littl,513
event,372
outag,82
nation,252
fraser,265
march,396
head,357
abl,473
mba,157
