enron,1885068
com,1357672
ect,1142764
hou,579174
e,464665
subject,449241
pm,418257
pleas,398723
would,330793
power,329796
http,329021
energi,325777
ani,324050
cc,309480
market,296540
compani,294415
new,291581
time,283911
messag,276133
corp,274858
mail,271213
thank,267541
said,249641
price,247855
may,242532
gas,228890
need,226018
forward,224529
www,221880
get,220729
call,212202
sent,211781
know,209042
one,203731
inform,203237
state,202852
day,200168
trade,196741
origin,195506
week,194740
year,191570
servic,188624
develop,188161
use,186702
us,186595
ee,185545
busi,185128
meet,185111
deal,182098
report,180948
california,178928
work,177813
also,177806
go,177163
like,171483
schedul,166382
chang,162988
c,160637
attach,157946
imag,154913
manag,154213
agreement,152507
b,152294
td,151487
electr,148370
issu,147065
make,146638
let,146202
contract,146034
p,145835
provid,145323
see,144334
receiv,142260
email,141943
date,139549
rate,139546
question,138772
includ,137627
file,136700
na,135064
group,134056
mark,132675
font,132237
want,131672
follow,130134
could,130045
houston,128919
last,127520
plan,127281
john,127112
onli,125485
j,122260
take,120685
util,119299
custom,118978
look,118846
net,118821
product,117603
oper,115495
contact,114539
list,114381
system,113070
request,111956
l,111264
right,110718
help,110563
discuss,109875
month,109224
offic,108997
two,107933
today,107636
th,107540
back,106720
think,105538
review,104464
bill,104184
million,103069
regard,102048
jeff,101994
number,101508
updat,100929
first,99977
name,99456
cost,98391
order,97556
credit,97125
offer,96946
next,96733
generat,95114
communic,93614
well,92668
start,92549
monday,92142
project,91349
avail,91334
requir,91253
current,90928
term,90695
r,90631
say,90594
way,90384
inc,90285
financi,89725
friday,89687
transact,89390
send,88196
data,88023
f,87897
point,87776
x,87230
free,87197
final,86660
doc,86500
good,85615
fax,85495
hour,84559
base,84051
interest,83922
copi,83412
news,83300
addit,83059
david,82179
comment,82022
execut,81712
risk,81676
fw,81156
team,81065
plant,80526
employe,80401
note,80042
come,79968
approv,79442
address,78709
respons,78469
sale,78132
per,77847
document,77486
jone,77372
veri,77084
becaus,76606
ask,76602
thursday,76516
end,75967
click,75943
et,75596
propos,75327
w,75284
access,75154
continu,75073
tuesday,74979
purchas,74771
posit,74492
id,74436
give,74058
octob,73859
mike,73793
buy,73751
legal,73126
option,73044
support,72948
wednesday,72902
industri,72590
still,72567
befor,72420
process,72162
direct,72111
line,71855
u,70982
unit,70972
kay,70777
peopl,70701
stock,70476
phone,70443
confirm,70200
enronxg,70166
set,69874
account,69657
close,69417
much,69157
novemb,68666
america,68474
ferc,68422
texa,68275
find,68157
n,67979
vinc,67612
expect,67232
public,67198
type,67180
natur,66969
share,66394
invest,65855
talk,65475
long,65282
best,65262
made,65126
confer,65084
davi,65082
chris,64975
br,64956
high,64823
complet,64627
increas,64619
firm,64427
member,64186
presid,63952
parti,63765
north,63719
mailto,63522
san,63265
site,63245
letter,63155
billion,62901
size,62888
form,62820
draft,62573
co,62522
intend,62024
problem,61970
ca,61760
program,61738
dure,61657
sinc,61547
hope,61522
futur,61466
detail,61413
reserv,61112
move,60800
commiss,60772
steve,60722
pay,60631
relat,60378
even,60233
person,60168
tri,59982
ena,59811
doe,59652
present,59484
possibl,59132
mani,58994
scott,58759
william,58661
center,58459
open,58372
secur,57975
fund,57811
place,57751
tr,57692
corpor,57349
sign,57129
part,56953
particip,56795
home,56485
januari,56475
sell,56432
richard,55695
book,55640
g,55411
michael,55410
iso,55194
activ,54847
great,54776
